watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,0,100,2,-67,-67,-67,0
31,RL,0,100,2,-67,-67,-67,0
31,RL,1,100,4,-65.75,-63,-67,4
31,RL,1,100,5,-74,-67,-85,18
31,RL,0,100,1,-70,-70,-70,0
31,RL,1,100,4,-68.25,-67,-70,3
31,RL,1,100,8,-72.375,-65,-82,17
31,RL,1,100,9,-72.4444444444444,-65,-82,17
31,RL,1,100,6,-73.3333333333333,-65,-82,17
31,RL,1,100,9,-72.7777777777778,-66,-79,13
31,RL,1,100,8,-73.375,-66,-79,13
31,RL,1,100,4,-72,-65,-79,14
31,RL,1,100,9,-74.8888888888889,-67,-90,23
31,RL,1,100,10,-73.8,-66,-81,15
31,RL,1,100,8,-71.75,-66,-79,13
31,RL,0,100,2,-68.5,-67,-70,3
31,RL,1,100,6,-66.6666666666667,-65,-68,3
31,RL,1,100,6,-68.6666666666667,-65,-71,6
31,RL,1,100,9,-72.5555555555556,-67,-77,10
31,RL,1,100,7,-70.5714285714286,-65,-77,12
31,RL,1,100,10,-69.4,-65,-79,14
31,RL,1,100,5,-65.8,-65,-67,2
31,RL,1,100,7,-70.5714285714286,-66,-79,13
31,RL,1,100,7,-73.4285714285714,-67,-84,17
31,RL,1,100,6,-76,-67,-85,18
31,RL,1,100,6,-77,-68,-90,22
31,RL,0,100,1,-80,-80,-80,0
31,RL,1,100,9,-71.7777777777778,-68,-76,8
31,RL,1,100,8,-71.75,-68,-76,8
31,RL,0,100,1,-74,-74,-74,0
31,RL,0,100,1,-71,-71,-71,0
31,RL,1,100,3,-71.3333333333333,-70,-72,2
31,RL,1,100,4,-74.5,-72,-81,9
31,RL,1,100,7,-72.5714285714286,-69,-78,9
31,RL,1,100,7,-70.4285714285714,-66,-74,8
31,RL,1,100,9,-69.8888888888889,-63,-75,12
31,RL,1,100,6,-69.5,-63,-75,12
31,RL,1,100,7,-69.5714285714286,-63,-73,10
31,RL,1,100,9,-78.2222222222222,-72,-84,12
31,RL,0,100,1,-77,-77,-77,0
31,RL,1,100,6,-70.6666666666667,-69,-74,5
31,RL,1,100,6,-70.8333333333333,-69,-73,4
31,RL,1,100,6,-71.1666666666667,-69,-74,5
31,RL,0,100,2,-69.5,-69,-70,1
31,RL,1,100,5,-79.4,-72,-86,14
31,RL,1,100,9,-81.2222222222222,-77,-88,11
31,RL,1,100,9,-80.7777777777778,-74,-88,14
31,RL,0,100,1,-80,-80,-80,0
31,RL,1,100,5,-70.2,-66,-77,11
31,RL,1,100,3,-67.3333333333333,-66,-68,2
31,RL,1,100,10,-69,-66,-73,7
31,RL,1,100,6,-68.6666666666667,-66,-70,4
31,RL,1,100,4,-70,-70,-70,0
31,RL,1,100,5,-73.2,-68,-87,19
31,RL,1,100,9,-76.5555555555556,-72,-92,20
31,RL,1,100,5,-76,-72,-92,20
31,RL,1,100,7,-70.5714285714286,-68,-72,4
31,RL,1,100,7,-69.5714285714286,-67,-73,6
31,RL,1,100,6,-70.5,-67,-73,6
31,RL,1,100,10,-73.7,-67,-88,21
31,RL,0,100,2,-79,-70,-88,18
31,RL,1,100,7,-72,-67,-77,10
31,RL,1,100,7,-71.4285714285714,-67,-77,10
31,RL,0,100,2,-72.5,-70,-75,5
31,RL,1,100,7,-78.2857142857143,-75,-81,6
31,RL,1,100,5,-78.4,-75,-81,6
31,RL,1,100,4,-79.5,-78,-81,3
31,RL,1,100,8,-75.625,-67,-91,24
31,RL,1,100,8,-69.625,-67,-72,5
31,RL,1,100,5,-69.4,-68,-72,4
31,RL,1,100,8,-68.5,-66,-74,8
31,RL,1,100,10,-70.2,-66,-74,8
31,RL,0,100,1,-70,-70,-70,0
31,RL,1,100,4,-72.25,-72,-73,1
31,RL,1,100,10,-68.3,-66,-71,5
31,RL,1,100,10,-80.1,-70,-88,18
31,RL,1,100,9,-81.2222222222222,-76,-88,12
31,RL,1,100,4,-84,-80,-88,8
31,RL,1,100,8,-70.875,-66,-76,10
31,RL,1,100,5,-72.6,-69,-76,7
31,RL,1,100,8,-72.875,-69,-76,7
31,RL,1,100,6,-74.1666666666667,-72,-75,3
31,RL,1,100,3,-75,-75,-75,0
31,RL,1,100,6,-75.8333333333333,-72,-80,8
31,RL,1,100,9,-77.7777777777778,-72,-86,14
31,RL,1,100,10,-76,-72,-86,14
31,RL,1,100,5,-72.4,-72,-74,2
31,RL,1,100,8,-70.625,-67,-75,8
31,RL,0,100,1,-67,-67,-67,0
31,RL,0,100,1,-67,-67,-67,0
31,RL,1,100,5,-73,-70,-76,6
31,RL,1,100,5,-74.6,-70,-77,7
31,RL,1,100,6,-72.8333333333333,-66,-80,14
31,RL,1,100,5,-79.8,-78,-82,4
31,RL,1,100,4,-79.75,-78,-82,4
31,RL,1,100,8,-78.625,-74,-82,8
31,RL,1,100,3,-74.6666666666667,-73,-77,4
31,RL,0,100,2,-65,-65,-65,0
31,RL,1,100,9,-73.4444444444444,-69,-78,9
31,RL,1,100,8,-74.25,-71,-78,7
31,RL,1,100,4,-75.75,-73,-78,5
31,RL,1,100,4,-75.5,-73,-78,5
31,RL,1,100,7,-72.4285714285714,-68,-82,14
31,RL,1,100,6,-72.3333333333333,-70,-74,4
31,RL,1,100,5,-72,-70,-74,4
31,RL,1,100,6,-72.3333333333333,-70,-74,4
31,RL,1,100,9,-82,-73,-96,23
31,RL,1,100,6,-70.1666666666667,-67,-75,8
31,RL,1,100,7,-70.1428571428571,-67,-75,8
