watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,5,-67.6,-67,-69,2
31,RL,1,50,9,-68.6666666666667,-67,-72,5
31,RL,1,50,4,-67.75,-67,-69,2
31,RL,1,50,8,-69.25,-67,-72,5
31,RL,1,50,9,-70,-67,-73,6
31,RL,1,50,4,-70,-68,-72,4
31,RL,1,50,9,-70.6666666666667,-68,-73,5
31,RL,1,50,3,-70.6666666666667,-70,-72,2
31,RL,1,50,5,-71.6,-70,-73,3
31,RL,1,50,8,-77,-70,-88,18
31,RL,1,50,4,-75,-70,-87,17
31,RL,1,50,8,-80.875,-70,-93,23
31,RL,0,50,1,-87,-87,-87,0
31,RL,0,50,1,-77,-77,-77,0
31,RL,1,50,10,-78.8,-71,-93,22
31,RL,0,50,2,-88,-83,-93,10
31,RL,1,50,7,-76.5714285714286,-72,-83,11
31,RL,1,50,4,-76.5,-73,-83,10
31,RL,1,50,9,-74.8888888888889,-71,-83,12
31,RL,1,50,6,-74.1666666666667,-71,-79,8
31,RL,1,50,10,-73.3,-70,-79,9
31,RL,1,50,7,-73.4285714285714,-71,-79,8
31,RL,0,50,2,-71.5,-71,-72,1
31,RL,0,50,1,-71,-71,-71,0
31,RL,0,50,2,-77,-75,-79,4
31,RL,1,50,10,-71.3,-68,-75,7
31,RL,1,50,9,-71.3333333333333,-68,-75,7
31,RL,1,50,8,-71.375,-68,-75,7
31,RL,1,50,6,-70.8333333333333,-68,-75,7
31,RL,0,50,1,-72,-72,-72,0
31,RL,1,50,9,-69.8888888888889,-67,-75,8
31,RL,1,50,5,-69.8,-67,-72,5
31,RL,1,50,10,-69.7,-67,-72,5
31,RL,0,50,2,-69,-67,-71,4
31,RL,1,50,3,-67.6666666666667,-67,-69,2
31,RL,1,50,9,-69.6666666666667,-67,-72,5
31,RL,0,50,1,-67,-67,-67,0
31,RL,1,50,9,-69.7777777777778,-66,-72,6
31,RL,1,50,4,-71,-69,-72,3
31,RL,0,50,2,-70.5,-69,-72,3
31,RL,1,50,4,-69.25,-68,-71,3
31,RL,0,50,2,-69.5,-68,-71,3
31,RL,1,50,3,-68.6666666666667,-68,-69,1
31,RL,1,50,4,-68.25,-66,-69,3
31,RL,1,50,7,-68.4285714285714,-66,-72,6
31,RL,1,50,4,-69.25,-67,-72,5
31,RL,0,50,1,-72,-72,-72,0
31,RL,1,50,6,-69,-66,-74,8
31,RL,1,50,8,-70.125,-66,-74,8
31,RL,0,50,1,-72,-72,-72,0
31,RL,0,50,2,-71,-68,-74,6
31,RL,1,50,10,-71,-67,-76,9
31,RL,0,50,1,-71,-71,-71,0
31,RL,1,50,4,-70,-68,-74,6
31,RL,1,50,3,-68.6666666666667,-68,-69,1
31,RL,0,50,2,-68.5,-68,-69,1
31,RL,1,50,4,-71.5,-68,-76,8
31,RL,0,50,2,-69.5,-67,-72,5
31,RL,1,50,5,-69,-67,-70,3
31,RL,1,50,6,-69.6666666666667,-68,-70,2
31,RL,1,50,4,-69.5,-68,-70,2
31,RL,1,50,6,-71.3333333333333,-70,-75,5
31,RL,1,50,4,-71.25,-70,-75,5
