watch,combination,risk,dist,samples,rawRSS_1,rawRSS_2,rawRSS_3,rawRSS_4,rawRSS_5,rawRSS_6,rawRSS_7,rawRSS_8,rawRSS_9,rawRSS_10,meanRSS,stdRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,10,-73,-73,-73,-69,-70,-70,-68,-68,-68,-68,-70,2.21108319357027,-68,-73,5
31,RL,1,50,6,-73,-73,-69,-70,-70,-68,,,,,-70.5,2.07364413533277,-68,-73,5
31,RL,1,50,5,-73,-69,-70,-70,-68,,,,,,-70,1.87082869338697,-68,-73,5
31,RL,1,50,3,-69,-70,-70,,,,,,,,-69.6666666666667,0.577350269189626,-69,-70,1
31,RL,1,50,8,-70,-70,-68,-68,-68,-68,-68,-69,,,-68.625,0.916125381312904,-68,-70,2
31,RL,1,50,5,-70,-68,-68,-68,-68,,,,,,-68.4,0.894427190999916,-68,-70,2
31,RL,1,50,4,-68,-68,-68,-68,,,,,,,-68,0,-68,-68,0
31,RL,1,50,6,-68,-68,-68,-69,-69,-66,,,,,-68,1.09544511501033,-66,-69,3
31,RL,1,50,8,-68,-68,-69,-69,-66,-66,-65,-65,,,-67,1.69030850945703,-65,-69,4
31,RL,1,50,10,-68,-69,-69,-66,-66,-65,-65,-68,-69,-68,-67.3,1.63639169448448,-65,-69,4
31,RL,1,50,8,-69,-69,-66,-66,-65,-65,-68,-69,,,-67.125,1.80772153354911,-65,-69,4
31,RL,1,50,3,-66,-65,-65,,,,,,,,-65.3333333333333,0.577350269189626,-65,-66,1
31,RL,1,50,6,-68,-68,-68,-66,-66,-66,,,,,-67,1.09544511501033,-66,-68,2
31,RL,1,50,7,-68,-68,-66,-66,-66,-65,-65,,,,-66.2857142857143,1.25356634105602,-65,-68,3
31,RL,1,50,10,-68,-66,-66,-66,-65,-65,-64,-70,-70,-65,-66.5,2.12132034355964,-64,-70,6
31,RL,1,50,10,-66,-66,-66,-65,-65,-64,-70,-70,-65,-65,-66.2,2.0976176963403,-64,-70,6
31,RL,1,50,3,-66,-65,-65,,,,,,,,-65.3333333333333,0.577350269189626,-65,-66,1
31,RL,1,50,6,-65,-65,-64,-70,-70,-65,,,,,-66.5,2.73861278752583,-64,-70,6
31,RL,1,50,6,-65,-64,-70,-70,-65,-65,,,,,-66.5,2.73861278752583,-64,-70,6
31,RL,0,50,1,-64,,,,,,,,,,-64,0,-64,-64,0
31,RL,1,50,3,-70,-70,-65,,,,,,,,-68.3333333333333,2.88675134594813,-65,-70,5
31,RL,1,50,3,-70,-65,-65,,,,,,,,-66.6666666666667,2.88675134594813,-65,-70,5
31,RL,0,50,1,-65,,,,,,,,,,-65,0,-65,-65,0
31,RL,1,50,7,-65,-67,-63,-66,-70,-68,-69,,,,-66.8571428571429,2.41029537806548,-63,-70,7
31,RL,1,50,4,-67,-63,-66,-70,,,,,,,-66.5,2.88675134594813,-63,-70,7
31,RL,1,50,10,-70,-68,-69,-65,-71,-66,-63,-63,-67,-69,-67.1,2.80673792466945,-63,-71,8
31,RL,1,50,6,-68,-69,-65,-71,-66,-63,,,,,-67,2.89827534923789,-63,-71,8
31,RL,1,50,7,-69,-65,-71,-66,-63,-63,-67,,,,-66.2857142857143,2.98408476836063,-63,-71,8
31,RL,0,50,1,-65,,,,,,,,,,-65,0,-65,-65,0
31,RL,1,50,4,-66,-63,-63,-67,,,,,,,-64.75,2.06155281280883,-63,-67,4
31,RL,1,50,7,-63,-63,-67,-69,-68,-64,-65,,,,-65.5714285714286,2.43975018237133,-63,-69,6
31,RL,0,50,2,-63,-67,,,,,,,,,-65,2.82842712474619,-63,-67,4
